Name,Owner,Description,Url,Address,Trainstop,Distance in m,geometry
Oban Distillery,Diageo plc ,Highland Malt,https://www.malts.com/en-row/distilleries/oban/,,Oban,383,POINT (-5.472071500000003 56.4150532)
The Borders Distillery,Three Stills Company Ltd,Lowland Malt,https://www.thebordersdistillery.com/,,Hawick,461,POINT (-2.7889395000000032 55.423919299999994)
Strathisla Distillery,Chivas Brothers Ltd,Speyside Malt,https://www.maltwhiskydistilleries.com/strathisla/,,Keith,549,POINT (-2.953357500000005 57.54605519999999)
Glen Keith Distillery,Chivas Brothers Ltd,Speyside Malt,,,Keith,615,POINT (-2.958893300000004 57.546102799999986)
Dalwhinnie Distillery,Diageo plc,Highland Malt,https://www.malts.com/en-gb/distilleries/dalwhinnie?type=redirect,,Dalwhinnie,629,POINT (-4.243002500000003 56.939655)
Teaninich Distllery,Diageo plc,Highland Malt,,,Alness,730,POINT (-4.260855000000005 57.691735900000005)
Clydeside Distillery,Morrison Glasgow Distillers,Lowland Malt,http://www.theclydeside.com/,,Exhibition Centre,757,POINT (-4.295134700000004 55.86174440000001)
Strathclyde Distillery,Chivas Brothers ,Grain Whisky,https://www.chivasbrothers.com/,,Argyle Street,861,POINT (-4.240985100000003 55.8484677)
Dalmore Distillery,Whyte and Mackay Ltd,Highland Malt,,,Alness,865,POINT (-4.239661200000004 57.688897600000004)
Glasgow Distillery,Glasgow Distillery Co Ltd,Lowland Malt,https://glasgowdistillery.com/,,Hillington East,910,POINT (-4.358704300000001 55.862646000000005)
Auchentoshan Distillery,Beam Suntory,Lowland Malt,https://www.auchentoshan.com/where-we-make-it,,Kilpatrick,928,POINT (-4.439149600000004 55.922511799999995)
Loch Lomond Distillery,Loch Lomond Group ,Highland Malt,https://www.lochlomondwhiskies.com/distillery/,,Alexandria,942,POINT (-4.576082400000004 55.9935506)
Benromach Distillery,Gordon & MacPhail Ltd,Speyside Malt,https://www.benromach.com/,,Forres,950,POINT (-3.620221600000002 57.6169585)
Pulteney Distillery,Inver House Distillers ,Highland Malt,https://www.oldpulteney.com/,,Wick,992,POINT (-3.0836877000000045 58.4369562)
Invergordon Distillery,Whyte and Mackay Ltd,Grain Whisky,,,Invergordon,1153,POINT (-4.159133500000005 57.6940534)
Strathmill Distillery,Diageo ,Speyside Malt,https://www.malts.com/en-row/our-whisky-collection/strathmill/,,Keith,1182,POINT (-2.9604667000000053 57.54093080000002)
Blair Athol Distillery,Diageo plc,Highland Malt,http://www.blairatholdistillery.com/,,Pitlochry,1191,POINT (-3.7178534000000036 56.6988279)
Holyrood Distillery,Holyrood Distillery,Lowland Malt,https://www.holyrooddistillery.co.uk,,Edinburgh Waverley,1219,POINT (-3.1775600000000055 55.943270000000005)
North British Distillery,North British Distillery Company Ltd ,Grain Whisky,https://www.thenorthbritish.co.uk/,,Haymarket (Edinburgh),1231,POINT (-3.2353057000000036 55.94011480000001)
Falkirk Distillery,Falkirk Distillery Company Ltd,Lowland Malt,https://www.falkirkdistillery.com/,"Grandsable Road
Falkirk",Polmont,1240,POINT (-3.725170000000003 55.99491)
Eden Mill Distillery,Eden Mill,Lowland Malt,https://www.edenmill.com/,,Leuchars,1256,POINT (-2.8824076000000036 56.3660542)
Jackton Distillery,Raer Scotch Whisky,Lowland malt,https://raer.co.uk/,"Hayhill Road
Jackton",Thorntonhall,1328,POINT (-4.2439300000000015 55.756440000000005)
Clynelish Distillery,Diageo plc,Highland Malt,https://www.malts.com/en-gb/distilleries/clynelish/,,Brora,1562,POINT (-3.8691716000000036 58.02385490000001)
Brora Distillery,Diageo plc,Highland Malt,https://www.malts.com/en-gb/distilleries/brora,,Brora,1594,POINT (-3.8703362000000046 58.0237374)
Ben Nevis Distillery,Ben Nevis Distillery (Fort William) Ltd,Highland Malt,http://www.bennevisdistillery.com/,,Banavie,1631,POINT (-5.073721000000003 56.834878999999994)
Girvan and Ailsa Bay Distilleries,William Grant & Sons Ltd,Grain Whisky and Lowland Malt,http://www.williamgrant.com/,,Girvan,1639,POINT (-4.834887500000002 55.258867)
Ailsa Bay Distillery,William Grant & Sons Ltd,Lowland Malt,http://www.williamgrant.com/ailsabay_distillery.php,,Girvan,1639,POINT (-4.834887500000002 55.258867)
Glen Ord Distillery,Diageo plc,Highland Malt,https://www.malts.com/en-row/home/,,Muir of Ord,1688,POINT (-4.484783100000002 57.526127400000014)
Glenmorangie Distillery,Glenmorangie Company Ltd,Highland Malt,https://www.glenmorangie.com/en-us,,Tain,1776,POINT (-4.0761731000000045 57.823899600000004)
Glen Moray Distillery,Glen Turner Company Ltd,Speyside Malt,http://www.glenmoray.com/,,Elgin,1922,POINT (-3.343709000000003 57.6444222)
Wolfburn Distillery,Aurora Brewing ,Highland Malt,https://wolfburn.com/,,Thurso,2015,POINT (-3.5615002000000042 58.593737)
Annandale Distillery,Annandale Distillery Co Ltd,Lowland Malt,https://annandaledistillery.com/,,Annan,2229,POINT (-3.2533775000000036 55.00317350000002)
Speyside Distillery,Speyside Distillers Co ,Speyside Malt,https://speysidedistillery.co.uk/,,Kingussie,2259,POINT (-4.015741400000004 57.07373880000001)
Bonnington Distillery,Halewood Wines & Spirits,Lowland Malt,https://crabbiewhisky.com/,"Bonnington Road Lane
Edinburgh",Edinburgh Waverley,2802,POINT (-3.165920000000002 55.97428)
Daftmill Distillery,The Cuthbert Family,Lowland Malt,https://www.daftmill.com/,,Springfield,2955,POINT (-3.0993463000000046 56.297566999999994)
Edradour Distillery,Signatory Vintage Scotch Whisky Company,Highland Malt,https://www.edradour.com/,,Pitlochry,3042,POINT (-3.686508500000004 56.7008127)
Starlaw Distillery,Glen Turner Distillery ,Grain Whisky,,,Bathgate,3185,POINT (-3.5952582000000044 55.8904304)
Aultmore Distillery,John Dewar & Sons Ltd,Speyside Malt,,,Keith,3415,POINT (-3.0024710000000043 57.567213)
Mannochmore Distillery,Diageo ple ,Speyside Malt,,,Elgin,3496,POINT (-3.3553887000000033 57.622131499999995)
Longmorn Distillery,Chivas Brothers ,Speyside Malt,,,Elgin,3496,POINT (-3.3553887000000033 57.622131499999995)
Glenlossie Distillery,Diageo plc,Speyside Malt,,,Elgin,3496,POINT (-3.3553887000000033 57.622131499999995)
Glen Elgin Distillery,Diageo plc,Speyside Malt,https://www.malts.com/en-au/our-whisky-collection/glen-elgin/,,Elgin,3496,POINT (-3.3553887000000033 57.622131499999995)
Linkwood Distillery,Diageo ,Speyside Malt,https://www.malts.com/en-row/our-whisky-collection/linkwood/,,Elgin,3496,POINT (-3.3553887000000033 57.622131499999995)
Tullibardine Distillery,Tullibardine Ltd ,Highland Malt,http://www.tullibardine.com/,,Gleneagles,3665,POINT (-3.7826586000000026 56.25865890000001)
Miltonduff Distillery,Chivas Brothers ,Speyside Malt,,,Elgin,3818,POINT (-3.366489800000004 57.62538180000001)
BenRiach Distillery,Brown-Forman Corporation,Speyside Malt,https://www.benriachdistillery.com/en-gb/,,Elgin,4327,POINT (-3.278002500000004 57.6085631)
Lochlea Distillery,Lochlea Distilling Company Ltd.,Lowland malt,https://www.lochleadistillery.com/,"Craigie
Kilmarnock",Kilmarnock,4539,POINT (-4.4397000000000055 55.58974)
Cameronbridge Distillery,Diageo plc,Grain Whisky,https://www.diageo.com/,,Markinch,4713,POINT (-3.058194000000003 56.188835999999995)
Glenburgie Distillery,Chivas Brothers Ltd,Speyside Malt,,,Forres,4785,POINT (-3.5971417000000034 57.57011760000001)
InchDairnie Distillery,InchDairnie Distillery Ltd.,Lowland Malt,http://inchdairniedistillery.com/,,Glenrothes with Thornton,4795,POINT (-3.211643800000004 56.1821555)
Royal Brackla Distillery,John Dewar & Sons ,Highland Malt,,,Nairn,4858,POINT (-3.908655000000003 57.5410209)
Glentauchers Distillery,Chivas Brothers Ltd,Speyside Malt,https://www.gordonandmacphail.com/our-whiskies/distilleries/glentauchers/,,Keith,6248,POINT (-3.0522903000000055 57.53201820000001)
Deanston Distillery,Distell International Ltd,Highland Malt,https://www.deanstonmalt.com/,,Dunblane,6267,POINT (-4.068094800000004 56.18911450000001)
Glen Garioch Distillery,Beam Suntory,Highland Malt,https://www.glengarioch.com/,,Inverurie,6773,POINT (-2.317313900000004 57.339128399999986)
Fettercairn Distillery,Whyte and Mackay Ltd,Highland Malt,https://www.fettercairnwhisky.com/,,Laurencekirk,7279,POINT (-2.581186700000003 56.85369219999998)
Dornoch Distillery,Dornoch Distillery Company,Highland Malt,https://www.thompsonbrosdistillers.com/,,Tain,7363,POINT (-4.028768800000005 57.879620300000006)
Auchroisk Distillery,Diageo plc,Speyside Malt,https://www.diageo.com/,,Keith,7798,POINT (-3.0305518000000045 57.4943025)
Allt A'Bhainne Distillery,Chivas Brothers Ltd,Speyside Malt,,,Keith,7798,POINT (-3.0305518000000045 57.4943025)
Ardmore Distillery,Beam Suntory,Highland Malt,https://www.ardmorewhisky.com/,,Insch,8070,POINT (-2.747824900000003 57.3515046)
GlenWyvis Distillery,GlenWyvis Distillery Ltd,Highland Malt,https://glenwyvis.com/,,Dingwall,8073,POINT (-4.511999400000004 57.6485994)
Balblair Distillery,Inver House Distillers Ltd,Highland Malt,https://www.balblair.com/,,Tain,8135,POINT (-4.176563800000005 57.8448046)
Glengoyne Distillery,Ian Macleod Distillers,Highland Malt,https://www.glengoyne.com/,,Milngavie,8322,POINT (-4.354035600000003 56.0124076)
Aberargie Distillery,Perth Distilling Company,Lowland Malt,,,Perth,8709,POINT (-3.345883300000004 56.33454100000001)
Glenkinchie Distillery,Diageo plc,Lowland Malt,https://www.malts.com/en-gb/distilleries/glenkinchie/,,Prestonpans,8937,POINT (-2.890579100000003 55.8880755)
Arbikie Distillery,Arbikie Distilling Ltd,Highland Malt,https://www.arbikie.com/,,Montrose,9259,POINT (-2.558880100000004 56.6447806)
Glendronach Distillery,Brown-Forman Corporation,Highland Malt,https://www.glendronachdistillery.com/en-gb/,,Huntly,9541,POINT (-2.6347091000000047 57.483359)
Lindores Abbey Distillery,Lindores Distilling Company Ltd,Lowland Malt,https://lindoresabbeydistillery.com/,,Ladybank,10687,POINT (-3.215112900000002 56.3547967)
Roseisle Distillery,Diageo plc ,Speyside Malt,,,Elgin,10726,POINT (-3.4826556000000024 57.672594499999995)
Aberfeldy Distillery,John Dewar & Sons Ltd,Highland Malt,https://www.dewars.com/gl/en/aberfeldydistillery/,,Pitlochry,10836,POINT (-3.8477095000000023 56.62709319999999)
Knockdhu Distillery,Inver House Distillers Ltd,Speyside Malt,https://ancnoc.com/the-distillery/,,Keith,11239,POINT (-2.7672353000000047 57.561244600000016)
Strathearn Distillery,Douglas Laing & Co,Highland Malt,https://www.strathearndistillery.com/,,Perth,11268,POINT (-3.6221630000000022 56.3996031)
Glencadam Distillery,Angus Dundee Distillers plc,Highland Malt,http://www.glencadamwhisky.com/,,Montrose,11441,POINT (-2.6541416000000053 56.73617970000001)
Speyburn Distillery,Inverhouse Distillers ,Highland Malt,https://www.speyburn.com/,,Elgin,11660,POINT (-3.2148068000000034 57.552073699999994)
Inchgower Distillery,Diageo plc,Speyside Malt,https://www.malts.com/en-row/our-whisky-collection/inchgower/,,Keith,12339,POINT (-2.9631941000000053 57.6616988)
Torabhaig Distillery,Mossburn Distillers ,Highland Malt,https://torabhaig.com/,,Mallaig,13637,POINT (-5.885546500000004 57.12419800000001)
Glen Grant Distillery,Glen Grant Ltd,Speyside Malt,https://www.glengrant.com/,,Elgin,13643,POINT (-3.2170790000000054 57.531472199999996)
Glenrothes Distillery,Edrington ,Speyside Malt,https://www.theglenrothes.com/en,,Elgin,14240,POINT (-3.2112181000000057 57.5270172)
Glen Spey Distillery,Diageo plc,Speyside Malt,,,Elgin,14445,POINT (-3.2073483000000045 57.52596450000001)
Tomatin Distillery,Tomatin Distillery Company ,Highland Malt,http://www.tomatin.com/,,Carrbridge,14659,POINT (-4.038690100000005 57.347144300000004)
Kininvie Distillery,William Grant & Sons Ltd,Speyside Malt,http://www.williamgrant.com/,,Keith,14777,POINT (-3.131089600000005 57.4585782)
Glenfiddich Distillery,William Grant & Sons Ltd,Speyside Malt,https://www.glenfiddich.com/,,Keith,14815,POINT (-3.126915400000004 57.455850600000005)
Balvenie Distillery,William Grant & Sons Ltd,Speyside Malt,https://www.thebalvenie.com/,,Keith,14815,POINT (-3.126915400000004 57.455850600000005)
Mortlach Distillery,Diageo plc ,Speyside Malt,http://www.mortlach.com/,,Keith,14950,POINT (-3.1103985000000054 57.44635030000001)
Glendullan Distillery,Diageo plc,Speyside Malt,https://www.diageo.com/,,Keith,14970,POINT (-3.1154420000000047 57.448349)
